date,stadium_tel_code,race_number,betting_number,ratio
2017-09-19,19,11,123,6.1
2017-09-19,19,11,213,15.7
2017-09-19,19,11,312,116.5
2017-09-19,19,11,412,34.9
2017-09-19,19,11,512,138.1
2017-09-19,19,11,612,0.0
2017-09-19,19,11,124,4.5
2017-09-19,19,11,214,10.6
2017-09-19,19,11,314,163.0
2017-09-19,19,11,413,104.5
2017-09-19,19,11,513,289.7
2017-09-19,19,11,613,0.0
2017-09-19,19,11,125,11.1
2017-09-19,19,11,215,19.5
2017-09-19,19,11,315,225.0
2017-09-19,19,11,415,53.4
2017-09-19,19,11,514,194.7
2017-09-19,19,11,614,0.0
2017-09-19,19,11,126,0.0
2017-09-19,19,11,216,0.0
2017-09-19,19,11,316,0.0
2017-09-19,19,11,416,0.0
2017-09-19,19,11,516,0.0
2017-09-19,19,11,615,0.0
2017-09-19,19,11,132,21.0
2017-09-19,19,11,231,60.3
2017-09-19,19,11,321,143.7
2017-09-19,19,11,421,48.1
2017-09-19,19,11,521,145.2
2017-09-19,19,11,621,0.0
2017-09-19,19,11,134,36.0
2017-09-19,19,11,234,96.8
2017-09-19,19,11,324,221.8
2017-09-19,19,11,423,149.4
2017-09-19,19,11,523,432.4
2017-09-19,19,11,623,0.0
2017-09-19,19,11,135,56.0
2017-09-19,19,11,235,125.1
2017-09-19,19,11,325,303.6
2017-09-19,19,11,425,82.1
2017-09-19,19,11,524,197.6
2017-09-19,19,11,624,0.0
2017-09-19,19,11,136,0.0
2017-09-19,19,11,236,0.0
2017-09-19,19,11,326,0.0
2017-09-19,19,11,426,0.0
2017-09-19,19,11,526,0.0
2017-09-19,19,11,625,0.0
2017-09-19,19,11,142,11.6
2017-09-19,19,11,241,35.8
2017-09-19,19,11,341,262.1
2017-09-19,19,11,431,223.2
2017-09-19,19,11,531,482.6
2017-09-19,19,11,631,0.0
2017-09-19,19,11,143,32.0
2017-09-19,19,11,243,89.5
2017-09-19,19,11,342,309.7
2017-09-19,19,11,432,267.0
2017-09-19,19,11,532,621.8
2017-09-19,19,11,632,0.0
2017-09-19,19,11,145,26.7
2017-09-19,19,11,245,76.3
2017-09-19,19,11,345,379.4
2017-09-19,19,11,435,295.7
2017-09-19,19,11,534,591.5
2017-09-19,19,11,634,0.0
2017-09-19,19,11,146,0.0
2017-09-19,19,11,246,0.0
2017-09-19,19,11,346,0.0
2017-09-19,19,11,436,0.0
2017-09-19,19,11,536,0.0
2017-09-19,19,11,635,0.0
2017-09-19,19,11,152,32.8
2017-09-19,19,11,251,88.0
2017-09-19,19,11,351,385.4
2017-09-19,19,11,451,80.8
2017-09-19,19,11,541,157.3
2017-09-19,19,11,641,0.0
2017-09-19,19,11,153,78.1
2017-09-19,19,11,253,189.9
2017-09-19,19,11,352,474.5
2017-09-19,19,11,452,88.5
2017-09-19,19,11,542,206.2
2017-09-19,19,11,642,0.0
2017-09-19,19,11,154,60.3
2017-09-19,19,11,254,132.1
2017-09-19,19,11,354,489.5
2017-09-19,19,11,453,194.7
2017-09-19,19,11,543,413.5
2017-09-19,19,11,643,0.0
2017-09-19,19,11,156,0.0
2017-09-19,19,11,256,0.0
2017-09-19,19,11,356,0.0
2017-09-19,19,11,456,0.0
2017-09-19,19,11,546,0.0
2017-09-19,19,11,645,0.0
2017-09-19,19,11,162,0.0
2017-09-19,19,11,261,0.0
2017-09-19,19,11,361,0.0
2017-09-19,19,11,461,0.0
2017-09-19,19,11,561,0.0
2017-09-19,19,11,651,0.0
2017-09-19,19,11,163,0.0
2017-09-19,19,11,263,0.0
2017-09-19,19,11,362,0.0
2017-09-19,19,11,462,0.0
2017-09-19,19,11,562,0.0
2017-09-19,19,11,652,0.0
2017-09-19,19,11,164,0.0
2017-09-19,19,11,264,0.0
2017-09-19,19,11,364,0.0
2017-09-19,19,11,463,0.0
2017-09-19,19,11,563,0.0
2017-09-19,19,11,653,0.0
2017-09-19,19,11,165,0.0
2017-09-19,19,11,265,0.0
2017-09-19,19,11,365,0.0
2017-09-19,19,11,465,0.0
2017-09-19,19,11,564,0.0
2017-09-19,19,11,654,0.0
